index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
730,728,2019-04-19,V Kohli,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10.0,N,IJ Gould,Nitin Menon,Kolkata Knight Riders,2019
731,729,2019-04-20,SPD Smith,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,N,YC Barde,S Ravi,Mumbai Indians,2019
732,730,2019-04-20,SS Iyer,Feroz Shah Kotla,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,5.0,N,UV Gandhe,C Shamshuddin,Kings XI Punjab,2019
733,731,2019-04-21,KK Ahmed,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,N,NJ Llong,Nitin Menon,Kolkata Knight Riders,2019
734,732,2019-04-21,PA Patel,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,1.0,N,RJ Tucker,VA Kulkarni,Chennai Super Kings,2019
735,733,2019-04-22,RR Pant,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,N,A Nand Kishore,S Ravi,Rajasthan Royals,2019
736,734,2019-04-23,SR Watson,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,N,NJ Llong,AK Chaudhary,Sunrisers Hyderabad,2019
737,735,2019-04-24,AB de Villiers,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17.0,N,C Shamshuddin,BNJ Oxenford,Kings XI Punjab,2019
738,736,2019-04-25,VR Aaron,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,AY Dandekar,IJ Gould,Kolkata Knight Riders,2019
739,737,2019-04-26,RG Sharma,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,46.0,N,NJ Llong,AK Chaudhary,Chennai Super Kings,2019
740,738,2019-04-27,JD Unadkat,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,YC Barde,A Nand Kishore,Sunrisers Hyderabad,2019
741,739,2019-04-28,S Dhawan,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16.0,N,KN Ananthapadmanabhan,BNJ Oxenford,Royal Challengers Bangalore,2019
742,740,2019-04-28,AD Russell,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34.0,N,IJ Gould,Nitin Menon,Mumbai Indians,2019
